,Ano,Unidade da Federação,Categorias de doenças,Internações relacionadas a saneamento inadequado (a cada 100 mil)
627,,,Transmitidas através do contato com a água,1.2
628,,,Relacionadas com a higiene,0.1
629,,,Geo-helmintos e teníases,0.1
630,,Rio de Janeiro,De transmissão feco-oral,94.4
631,,,Tansmitidas por inseto vetor,108.0
632,,,Transmitidas através do contato com a água,0.8
633,,,Relacionadas com a higiene,0.2
634,,,Geo-helmintos e teníases,0.2
635,,São Paulo,De transmissão feco-oral,67.5
636,,,Tansmitidas por inseto vetor,4.4
637,,,Transmitidas através do contato com a água,0.9
638,,,Relacionadas com a higiene,0.3
639,,,Geo-helmintos e teníases,0.6
640,,Paraná,De transmissão feco-oral,275.8
641,,,Tansmitidas por inseto vetor,4.4
642,,,Transmitidas através do contato com a água,1.0
643,,,Relacionadas com a higiene,0.2
644,,,Geo-helmintos e teníases,1.0
645,,Santa Catarina,De transmissão feco-oral,163.2
646,,,Tansmitidas por inseto vetor,0.8
647,,,Transmitidas através do contato com a água,6.1
648,,,Relacionadas com a higiene,0.4
649,,,Geo-helmintos e teníases,0.3
650,,Rio Grande do Sul,De transmissão feco-oral,193.4
651,,,Tansmitidas por inseto vetor,1.1
652,,,Transmitidas através do contato com a água,3.4
653,,,Relacionadas com a higiene,0.4
654,,,Geo-helmintos e teníases,0.3
655,,Mato Grosso do Sul,De transmissão feco-oral,262.2
656,,,Tansmitidas por inseto vetor,22.8
657,,,Transmitidas através do contato com a água,0.1
658,,,Relacionadas com a higiene,0.1
659,,,Geo-helmintos e teníases,0.6
660,,Mato Grosso,De transmissão feco-oral,306.6
661,,,Tansmitidas por inseto vetor,34.8
662,,,Transmitidas através do contato com a água,0.1
663,,,Relacionadas com a higiene,1.2
664,,,Geo-helmintos e teníases,0.5
665,,Goiás,De transmissão feco-oral,340.5
666,,,Tansmitidas por inseto vetor,93.5
667,,,Transmitidas através do contato com a água,0.1
668,,,Relacionadas com a higiene,0.0
669,,,Geo-helmintos e teníases,0.3
670,,Distrito Federal,De transmissão feco-oral,142.9
671,,,Tansmitidas por inseto vetor,16.5
672,,,Transmitidas através do contato com a água,0.8
673,,,Relacionadas com a higiene,2.6
674,,,Geo-helmintos e teníases,1.8
675,2009.0,Rondônia,De transmissão feco-oral,408.8
676,,,Tansmitidas por inseto vetor,275.2
677,,,Transmitidas através do contato com a água,0.9
678,,,Relacionadas com a higiene,0.1
679,,,Geo-helmintos e teníases,1.2
680,,Acre,De transmissão feco-oral,327.7
681,,,Tansmitidas por inseto vetor,180.0
682,,,Transmitidas através do contato com a água,8.1
683,,,Relacionadas com a higiene,0.1
684,,,Geo-helmintos e teníases,0.8
685,,Amazonas,De transmissão feco-oral,160.3
686,,,Tansmitidas por inseto vetor,27.0
687,,,Transmitidas através do contato com a água,0.8
688,,,Relacionadas com a higiene,3.8
689,,,Geo-helmintos e teníases,1.3
690,,Roraima,De transmissão feco-oral,272.3
691,,,Tansmitidas por inseto vetor,264.1
692,,,Transmitidas através do contato com a água,0.2
693,,,Relacionadas com a higiene,0.0
694,,,Geo-helmintos e teníases,0.2
695,,Pará,De transmissão feco-oral,779.0
696,,,Tansmitidas por inseto vetor,86.5
697,,,Transmitidas através do contato com a água,1.5
698,,,Relacionadas com a higiene,0.5
699,,,Geo-helmintos e teníases,0.5
700,,Amapá,De transmissão feco-oral,158.5
701,,,Tansmitidas por inseto vetor,63.3
702,,,Transmitidas através do contato com a água,6.6
703,,,Relacionadas com a higiene,0.3
704,,,Geo-helmintos e teníases,1.0
705,,Tocantins,De transmissão feco-oral,306.9
706,,,Tansmitidas por inseto vetor,103.3
707,,,Transmitidas através do contato com a água,0.1
708,,,Relacionadas com a higiene,0.0
709,,,Geo-helmintos e teníases,0.5
710,,Maranhão,De transmissão feco-oral,635.6
711,,,Tansmitidas por inseto vetor,41.0
712,,,Transmitidas através do contato com a água,0.7
713,,,Relacionadas com a higiene,1.1
714,,,Geo-helmintos e teníases,0.2
715,,Piauí,De transmissão feco-oral,824.5
716,,,Tansmitidas por inseto vetor,84.3
717,,,Transmitidas através do contato com a água,0.4
718,,,Relacionadas com a higiene,0.4
719,,,Geo-helmintos e teníases,0.2
720,,Ceará,De transmissão feco-oral,294.8
721,,,Tansmitidas por inseto vetor,31.8
722,,,Transmitidas através do contato com a água,3.5
723,,,Relacionadas com a higiene,2.2
724,,,Geo-helmintos e teníases,1.0
725,,Rio Grande do Norte,De transmissão feco-oral,316.9
726,,,Tansmitidas por inseto vetor,22.4
727,,,Transmitidas através do contato com a água,2.6
728,,,Relacionadas com a higiene,0.1
729,,,Geo-helmintos e teníases,0.7
730,,Paraíba,De transmissão feco-oral,474.4
731,,,Tansmitidas por inseto vetor,19.8
732,,,Transmitidas através do contato com a água,0.6
733,,,Relacionadas com a higiene,0.1
734,,,Geo-helmintos e teníases,0.1
735,,Pernambuco,De transmissão feco-oral,214.1
736,,,Tansmitidas por inseto vetor,10.9
737,,,Transmitidas através do contato com a água,2.5
738,,,Relacionadas com a higiene,1.2
739,,,Geo-helmintos e teníases,0.2
740,,Alagoas,De transmissão feco-oral,382.9
741,,,Tansmitidas por inseto vetor,12.2
742,,,Transmitidas através do contato com a água,2.1
743,,,Relacionadas com a higiene,0.4
744,,,Geo-helmintos e teníases,0.2
745,,Sergipe,De transmissão feco-oral,115.6
746,,,Tansmitidas por inseto vetor,18.2
747,,,Transmitidas através do contato com a água,2.0
748,,,Relacionadas com a higiene,0.1
749,,,Geo-helmintos e teníases,0.2
750,,Bahia,De transmissão feco-oral,508.1
751,,,Tansmitidas por inseto vetor,120.2
752,,,Transmitidas através do contato com a água,1.3
753,,,Relacionadas com a higiene,1.0
754,,,Geo-helmintos e teníases,0.4
755,,Minas Gerais,De transmissão feco-oral,114.5
756,,,Tansmitidas por inseto vetor,18.1
757,,,Transmitidas através do contato com a água,0.6
758,,,Relacionadas com a higiene,0.2
759,,,Geo-helmintos e teníases,0.6
760,,Espírito Santo,De transmissão feco-oral,171.0
761,,,Tansmitidas por inseto vetor,94.7
762,,,Transmitidas através do contato com a água,2.2
763,,,Relacionadas com a higiene,0.1
764,,,Geo-helmintos e teníases,0.1
765,,Rio de Janeiro,De transmissão feco-oral,84.1
766,,,Tansmitidas por inseto vetor,7.9
767,,,Transmitidas através do contato com a água,1.2
768,,,Relacionadas com a higiene,1.1
769,,,Geo-helmintos e teníases,0.2
770,,São Paulo,De transmissão feco-oral,56.9
771,,,Tansmitidas por inseto vetor,3.6
772,,,Transmitidas através do contato com a água,1.2
773,,,Relacionadas com a higiene,0.2
774,,,Geo-helmintos e teníases,0.6
775,,Paraná,De transmissão feco-oral,219.8
776,,,Tansmitidas por inseto vetor,2.3
777,,,Transmitidas através do contato com a água,0.8
778,,,Relacionadas com a higiene,0.1
779,,,Geo-helmintos e teníases,0.5
780,,Santa Catarina,De transmissão feco-oral,133.7
781,,,Tansmitidas por inseto vetor,0.6
782,,,Transmitidas através do contato com a água,5.5
783,,,Relacionadas com a higiene,0.3
784,,,Geo-helmintos e teníases,0.3
785,,Rio Grande do Sul,De transmissão feco-oral,157.2
786,,,Tansmitidas por inseto vetor,0.5
787,,,Transmitidas através do contato com a água,3.3
788,,,Relacionadas com a higiene,0.3
789,,,Geo-helmintos e teníases,0.3
790,,Mato Grosso do Sul,De transmissão feco-oral,225.7
791,,,Tansmitidas por inseto vetor,44.1
792,,,Transmitidas através do contato com a água,0.2
793,,,Relacionadas com a higiene,0.1
794,,,Geo-helmintos e teníases,0.5
795,,Mato Grosso,De transmissão feco-oral,282.3
796,,,Tansmitidas por inseto vetor,159.4
797,,,Transmitidas através do contato com a água,0.0
798,,,Relacionadas com a higiene,0.2
799,,,Geo-helmintos e teníases,0.0
800,,Goiás,De transmissão feco-oral,255.6
801,,,Tansmitidas por inseto vetor,48.1
802,,,Transmitidas através do contato com a água,0.1
803,,,Relacionadas com a higiene,0.1
804,,,Geo-helmintos e teníases,0.1
805,,Distrito Federal,De transmissão feco-oral,28.6
806,,,Tansmitidas por inseto vetor,2.9
807,,,Transmitidas através do contato com a água,0.4
808,,,Relacionadas com a higiene,0.7
809,,,Geo-helmintos e teníases,0.7
810,2011.0,Rondônia,De transmissão feco-oral,342.0
811,,,Tansmitidas por inseto vetor,178.0
812,,,Transmitidas através do contato com a água,0.8
813,,,Relacionadas com a higiene,0.2
814,,,Geo-helmintos e teníases,1.5
815,,Acre,De transmissão feco-oral,375.6
816,,,Tansmitidas por inseto vetor,121.3
817,,,Transmitidas através do contato com a água,4.1
818,,,Relacionadas com a higiene,0.3
819,,,Geo-helmintos e teníases,3.3
820,,Amazonas,De transmissão feco-oral,170.9
821,,,Tansmitidas por inseto vetor,75.8
822,,,Transmitidas através do contato com a água,1.2
823,,,Relacionadas com a higiene,2.0
824,,,Geo-helmintos e teníases,1.0
825,,Roraima,De transmissão feco-oral,189.6
826,,,Tansmitidas por inseto vetor,124.7
827,,,Transmitidas através do contato com a água,0.0
828,,,Relacionadas com a higiene,0.2
829,,,Geo-helmintos e teníases,0.6
830,,Pará,De transmissão feco-oral,649.3
831,,,Tansmitidas por inseto vetor,141.7
832,,,Transmitidas através do contato com a água,1.3
833,,,Relacionadas com a higiene,0.5
834,,,Geo-helmintos e teníases,0.5
835,,Amapá,De transmissão feco-oral,138.8
836,,,Tansmitidas por inseto vetor,75.3
837,,,Transmitidas através do contato com a água,7.7
838,,,Relacionadas com a higiene,0.4
839,,,Geo-helmintos e teníases,2.3
840,,Tocantins,De transmissão feco-oral,286.4
841,,,Tansmitidas por inseto vetor,105.1
842,,,Transmitidas através do contato com a água,0.1
843,,,Relacionadas com a higiene,0.1
844,,,Geo-helmintos e teníases,0.5
845,,Maranhão,De transmissão feco-oral,716.0
846,,,Tansmitidas por inseto vetor,93.1
847,,,Transmitidas através do contato com a água,0.1
848,,,Relacionadas com a higiene,0.8
849,,,Geo-helmintos e teníases,0.5
850,,Piauí,De transmissão feco-oral,701.5
851,,,Tansmitidas por inseto vetor,100.5
852,,,Transmitidas através do contato com a água,0.0
853,,,Relacionadas com a higiene,2.6
854,,,Geo-helmintos e teníases,0.1
855,,Ceará,De transmissão feco-oral,235.0
856,,,Tansmitidas por inseto vetor,113.1
857,,,Transmitidas através do contato com a água,1.2
858,,,Relacionadas com a higiene,1.5
859,,,Geo-helmintos e teníases,1.0
860,,Rio Grande do Norte,De transmissão feco-oral,278.6
861,,,Tansmitidas por inseto vetor,97.9
862,,,Transmitidas através do contato com a água,0.6
863,,,Relacionadas com a higiene,0.0
864,,,Geo-helmintos e teníases,0.7
865,,Paraíba,De transmissão feco-oral,336.4
866,,,Tansmitidas por inseto vetor,69.4
867,,,Transmitidas através do contato com a água,0.5
868,,,Relacionadas com a higiene,0.2
869,,,Geo-helmintos e teníases,0.4
870,,Pernambuco,De transmissão feco-oral,176.8
871,,,Tansmitidas por inseto vetor,51.5
872,,,Transmitidas através do contato com a água,3.1
873,,,Relacionadas com a higiene,0.4
874,,,Geo-helmintos e teníases,0.3
875,,Alagoas,De transmissão feco-oral,290.4
876,,,Tansmitidas por inseto vetor,27.8
877,,,Transmitidas através do contato com a água,2.3
878,,,Relacionadas com a higiene,0.2
879,,,Geo-helmintos e teníases,0.3
880,,Sergipe,De transmissão feco-oral,66.2
881,,,Tansmitidas por inseto vetor,36.4
882,,,Transmitidas através do contato com a água,1.9
883,,,Relacionadas com a higiene,0.0
884,,,Geo-helmintos e teníases,0.7
885,,Bahia,De transmissão feco-oral,364.5
886,,,Tansmitidas por inseto vetor,65.0
887,,,Transmitidas através do contato com a água,1.1
888,,,Relacionadas com a higiene,0.5
889,,,Geo-helmintos e teníases,0.5
890,,Minas Gerais,De transmissão feco-oral,98.7
891,,,Tansmitidas por inseto vetor,14.7
892,,,Transmitidas através do contato com a água,0.4
893,,,Relacionadas com a higiene,0.1
894,,,Geo-helmintos e teníases,0.3
895,,Espírito Santo,De transmissão feco-oral,140.7
896,,,Tansmitidas por inseto vetor,93.2
897,,,Transmitidas através do contato com a água,1.6
898,,,Relacionadas com a higiene,0.0
899,,,Geo-helmintos e teníases,0.2
900,,Rio de Janeiro,De transmissão feco-oral,64.7
901,,,Tansmitidas por inseto vetor,61.5
902,,,Transmitidas através do contato com a água,0.9
903,,,Relacionadas com a higiene,0.1
904,,,Geo-helmintos e teníases,0.3
905,,São Paulo,De transmissão feco-oral,51.2
906,,,Tansmitidas por inseto vetor,9.0
907,,,Transmitidas através do contato com a água,1.3
908,,,Relacionadas com a higiene,0.3
909,,,Geo-helmintos e teníases,0.6
910,,Paraná,De transmissão feco-oral,179.3
911,,,Tansmitidas por inseto vetor,17.5
912,,,Transmitidas através do contato com a água,2.4
913,,,Relacionadas com a higiene,0.0
914,,,Geo-helmintos e teníases,0.4
915,,Santa Catarina,De transmissão feco-oral,106.4
916,,,Tansmitidas por inseto vetor,0.6
917,,,Transmitidas através do contato com a água,6.2
918,,,Relacionadas com a higiene,0.1
919,,,Geo-helmintos e teníases,0.3
920,,Rio Grande do Sul,De transmissão feco-oral,108.7
921,,,Tansmitidas por inseto vetor,1.0
922,,,Transmitidas através do contato com a água,3.6
923,,,Relacionadas com a higiene,0.4
924,,,Geo-helmintos e teníases,0.6
925,,Mato Grosso do Sul,De transmissão feco-oral,166.3
926,,,Tansmitidas por inseto vetor,45.1
927,,,Transmitidas através do contato com a água,0.0
928,,,Relacionadas com a higiene,0.0
929,,,Geo-helmintos e teníases,0.4
930,,Mato Grosso,De transmissão feco-oral,237.4
931,,,Tansmitidas por inseto vetor,38.9
932,,,Transmitidas através do contato com a água,0.1
933,,,Relacionadas com a higiene,0.1
934,,,Geo-helmintos e teníases,0.3
935,,Goiás,De transmissão feco-oral,229.7
936,,,Tansmitidas por inseto vetor,51.4
937,,,Transmitidas através do contato com a água,0.0
938,,,Relacionadas com a higiene,0.0
939,,,Geo-helmintos e teníases,0.2
940,,Distrito Federal,De transmissão feco-oral,71.5
941,,,Tansmitidas por inseto vetor,20.2
942,,,Transmitidas através do contato com a água,0.6
943,,,Relacionadas com a higiene,1.4
944,,,Geo-helmintos e teníases,1.5
945,2012.0,Rondônia,De transmissão feco-oral,343.8
946,,,Tansmitidas por inseto vetor,129.6
947,,,Transmitidas através do contato com a água,0.5
948,,,Relacionadas com a higiene,0.2
949,,,Geo-helmintos e teníases,1.1
950,,Acre,De transmissão feco-oral,477.4
951,,,Tansmitidas por inseto vetor,72.0
952,,,Transmitidas através do contato com a água,4.6
953,,,Relacionadas com a higiene,0.4
954,,,Geo-helmintos e teníases,1.6
955,,Amazonas,De transmissão feco-oral,163.2
956,,,Tansmitidas por inseto vetor,21.0
957,,,Transmitidas através do contato com a água,0.7
958,,,Relacionadas com a higiene,0.3
959,,,Geo-helmintos e teníases,0.7
960,,Roraima,De transmissão feco-oral,122.5
961,,,Tansmitidas por inseto vetor,127.1
962,,,Transmitidas através do contato com a água,0.0
963,,,Relacionadas com a higiene,0.2
964,,,Geo-helmintos e teníases,1.7
965,,Pará,De transmissão feco-oral,584.9
966,,,Tansmitidas por inseto vetor,88.3
967,,,Transmitidas através do contato com a água,0.8
968,,,Relacionadas com a higiene,0.2
969,,,Geo-helmintos e teníases,0.8
970,,Amapá,De transmissão feco-oral,152.0
971,,,Tansmitidas por inseto vetor,55.1
972,,,Transmitidas através do contato com a água,4.6
973,,,Relacionadas com a higiene,0.7
974,,,Geo-helmintos e teníases,1.9
975,,Tocantins,De transmissão feco-oral,246.3
976,,,Tansmitidas por inseto vetor,98.2
977,,,Transmitidas através do contato com a água,0.1
978,,,Relacionadas com a higiene,0.1
979,,,Geo-helmintos e teníases,0.8
980,,Maranhão,De transmissão feco-oral,650.5
981,,,Tansmitidas por inseto vetor,67.3
982,,,Transmitidas através do contato com a água,0.1
983,,,Relacionadas com a higiene,1.3
984,,,Geo-helmintos e teníases,0.3
985,,Piauí,De transmissão feco-oral,638.5
986,,,Tansmitidas por inseto vetor,87.4
987,,,Transmitidas através do contato com a água,0.0
988,,,Relacionadas com a higiene,3.5
989,,,Geo-helmintos e teníases,0.4
990,,Ceará,De transmissão feco-oral,189.7
991,,,Tansmitidas por inseto vetor,50.4
992,,,Transmitidas através do contato com a água,0.7
993,,,Relacionadas com a higiene,0.2
994,,,Geo-helmintos e teníases,1.0
995,,Rio Grande do Norte,De transmissão feco-oral,232.8
996,,,Tansmitidas por inseto vetor,53.0
997,,,Transmitidas através do contato com a água,0.7
998,,,Relacionadas com a higiene,0.1
999,,,Geo-helmintos e teníases,0.5
1000,,Paraíba,De transmissão feco-oral,271.5
1001,,,Tansmitidas por inseto vetor,36.8
1002,,,Transmitidas através do contato com a água,0.6
1003,,,Relacionadas com a higiene,0.2
1004,,,Geo-helmintos e teníases,0.3
1005,,Pernambuco,De transmissão feco-oral,169.2
1006,,,Tansmitidas por inseto vetor,36.3
1007,,,Transmitidas através do contato com a água,2.3
1008,,,Relacionadas com a higiene,0.6
1009,,,Geo-helmintos e teníases,0.5
1010,,Alagoas,De transmissão feco-oral,253.8
1011,,,Tansmitidas por inseto vetor,41.7
1012,,,Transmitidas através do contato com a água,1.0
1013,,,Relacionadas com a higiene,0.1
1014,,,Geo-helmintos e teníases,0.2
1015,,Sergipe,De transmissão feco-oral,76.7
1016,,,Tansmitidas por inseto vetor,29.7
1017,,,Transmitidas através do contato com a água,1.5
1018,,,Relacionadas com a higiene,0.0
1019,,,Geo-helmintos e teníases,0.2
1020,,Bahia,De transmissão feco-oral,342.6
1021,,,Tansmitidas por inseto vetor,72.9
1022,,,Transmitidas através do contato com a água,0.8
1023,,,Relacionadas com a higiene,0.3
1024,,,Geo-helmintos e teníases,0.5
1025,,Minas Gerais,De transmissão feco-oral,104.2
1026,,,Tansmitidas por inseto vetor,9.7
1027,,,Transmitidas através do contato com a água,0.5
1028,,,Relacionadas com a higiene,0.1
1029,,,Geo-helmintos e teníases,0.4
1030,,Espírito Santo,De transmissão feco-oral,151.7
1031,,,Tansmitidas por inseto vetor,29.0
1032,,,Transmitidas através do contato com a água,1.1
1033,,,Relacionadas com a higiene,0.1
1034,,,Geo-helmintos e teníases,0.6
1035,,Rio de Janeiro,De transmissão feco-oral,52.0
1036,,,Tansmitidas por inseto vetor,23.6
1037,,,Transmitidas através do contato com a água,0.6
1038,,,Relacionadas com a higiene,0.0
1039,,,Geo-helmintos e teníases,0.4
1040,,São Paulo,De transmissão feco-oral,52.3
1041,,,Tansmitidas por inseto vetor,3.9
1042,,,Transmitidas através do contato com a água,0.9
1043,,,Relacionadas com a higiene,0.2
1044,,,Geo-helmintos e teníases,0.5
1045,,Paraná,De transmissão feco-oral,187.4
1046,,,Tansmitidas por inseto vetor,3.8
1047,,,Transmitidas através do contato com a água,1.1
1048,,,Relacionadas com a higiene,0.1
1049,,,Geo-helmintos e teníases,0.4
1050,,Santa Catarina,De transmissão feco-oral,108.6
1051,,,Tansmitidas por inseto vetor,0.7
1052,,,Transmitidas através do contato com a água,3.4
1053,,,Relacionadas com a higiene,0.1
1054,,,Geo-helmintos e teníases,0.4
1055,,Rio Grande do Sul,De transmissão feco-oral,117.3
1056,,,Tansmitidas por inseto vetor,0.3
1057,,,Transmitidas através do contato com a água,2.6
1058,,,Relacionadas com a higiene,0.2
1059,,,Geo-helmintos e teníases,0.7
1060,,Mato Grosso do Sul,De transmissão feco-oral,153.8
1061,,,Tansmitidas por inseto vetor,32.2
1062,,,Transmitidas através do contato com a água,0.1
1063,,,Relacionadas com a higiene,0.1
1064,,,Geo-helmintos e teníases,0.6
1065,,Mato Grosso,De transmissão feco-oral,237.8
1066,,,Tansmitidas por inseto vetor,98.4
1067,,,Transmitidas através do contato com a água,0.0
1068,,,Relacionadas com a higiene,0.2
1069,,,Geo-helmintos e teníases,0.2
1070,,Goiás,De transmissão feco-oral,198.9
1071,,,Tansmitidas por inseto vetor,28.9
1072,,,Transmitidas através do contato com a água,0.1
1073,,,Relacionadas com a higiene,0.0
1074,,,Geo-helmintos e teníases,0.2
1075,,Distrito Federal,De transmissão feco-oral,79.9
1076,,,Tansmitidas por inseto vetor,10.7
1077,,,Transmitidas através do contato com a água,0.7
1078,,,Relacionadas com a higiene,0.4
1079,,,Geo-helmintos e teníases,0.9
1080,2013.0,Rondônia,De transmissão feco-oral,221.2
1081,,,Tansmitidas por inseto vetor,196.7
1082,,,Transmitidas através do contato com a água,1.3
1083,,,Relacionadas com a higiene,0.2
1084,,,Geo-helmintos e teníases,1.9
1085,,Acre,De transmissão feco-oral,368.3
1086,,,Tansmitidas por inseto vetor,71.2
1087,,,Transmitidas através do contato com a água,6.4
1088,,,Relacionadas com a higiene,0.5
1089,,,Geo-helmintos e teníases,1.2
1090,,Amazonas,De transmissão feco-oral,128.7
1091,,,Tansmitidas por inseto vetor,23.6
1092,,,Transmitidas através do contato com a água,1.0
1093,,,Relacionadas com a higiene,0.1
1094,,,Geo-helmintos e teníases,0.7
1095,,Roraima,De transmissão feco-oral,134.6
1096,,,Tansmitidas por inseto vetor,79.3
1097,,,Transmitidas através do contato com a água,0.0
1098,,,Relacionadas com a higiene,0.0
1099,,,Geo-helmintos e teníases,2.3
1100,,Pará,De transmissão feco-oral,489.2
1101,,,Tansmitidas por inseto vetor,57.5
1102,,,Transmitidas através do contato com a água,1.1
1103,,,Relacionadas com a higiene,0.3
1104,,,Geo-helmintos e teníases,0.7
1105,,Amapá,De transmissão feco-oral,120.7
1106,,,Tansmitidas por inseto vetor,35.4
1107,,,Transmitidas através do contato com a água,3.1
1108,,,Relacionadas com a higiene,0.3
1109,,,Geo-helmintos e teníases,2.2
1110,,Tocantins,De transmissão feco-oral,223.7
1111,,,Tansmitidas por inseto vetor,90.7
1112,,,Transmitidas através do contato com a água,0.3
1113,,,Relacionadas com a higiene,0.1
1114,,,Geo-helmintos e teníases,1.2
1115,,Maranhão,De transmissão feco-oral,687.6
1116,,,Tansmitidas por inseto vetor,48.6
1117,,,Transmitidas através do contato com a água,0.1
1118,,,Relacionadas com a higiene,0.3
1119,,,Geo-helmintos e teníases,0.7
1120,,Piauí,De transmissão feco-oral,589.1
1121,,,Tansmitidas por inseto vetor,60.5
1122,,,Transmitidas através do contato com a água,0.0
1123,,,Relacionadas com a higiene,3.0
1124,,,Geo-helmintos e teníases,0.8
1125,,Ceará,De transmissão feco-oral,226.1
1126,,,Tansmitidas por inseto vetor,41.9
1127,,,Transmitidas através do contato com a água,0.6
1128,,,Relacionadas com a higiene,0.1
1129,,,Geo-helmintos e teníases,0.9
1130,,Rio Grande do Norte,De transmissão feco-oral,304.5
1131,,,Tansmitidas por inseto vetor,48.8
1132,,,Transmitidas através do contato com a água,0.2
1133,,,Relacionadas com a higiene,0.1
1134,,,Geo-helmintos e teníases,0.6
1135,,Paraíba,De transmissão feco-oral,315.9
1136,,,Tansmitidas por inseto vetor,45.4
1137,,,Transmitidas através do contato com a água,0.3
1138,,,Relacionadas com a higiene,0.0
1139,,,Geo-helmintos e teníases,0.4
1140,,Pernambuco,De transmissão feco-oral,167.6
1141,,,Tansmitidas por inseto vetor,10.7
1142,,,Transmitidas através do contato com a água,1.6
1143,,,Relacionadas com a higiene,0.3
1144,,,Geo-helmintos e teníases,0.6
1145,,Alagoas,De transmissão feco-oral,258.1
1146,,,Tansmitidas por inseto vetor,16.5
1147,,,Transmitidas através do contato com a água,1.0
1148,,,Relacionadas com a higiene,0.0
1149,,,Geo-helmintos e teníases,0.3
1150,,Sergipe,De transmissão feco-oral,69.6
1151,,,Tansmitidas por inseto vetor,8.9
1152,,,Transmitidas através do contato com a água,1.0
1153,,,Relacionadas com a higiene,0.1
1154,,,Geo-helmintos e teníases,0.4
1155,,Bahia,De transmissão feco-oral,300.6
1156,,,Tansmitidas por inseto vetor,64.2
1157,,,Transmitidas através do contato com a água,0.9
1158,,,Relacionadas com a higiene,0.2
1159,,,Geo-helmintos e teníases,0.4
1160,,Minas Gerais,De transmissão feco-oral,84.2
1161,,,Tansmitidas por inseto vetor,38.1
1162,,,Transmitidas através do contato com a água,0.5
1163,,,Relacionadas com a higiene,0.1
1164,,,Geo-helmintos e teníases,0.4
1165,,Espírito Santo,De transmissão feco-oral,123.1
1166,,,Tansmitidas por inseto vetor,43.8
1167,,,Transmitidas através do contato com a água,0.8
1168,,,Relacionadas com a higiene,0.1
1169,,,Geo-helmintos e teníases,0.1
1170,,Rio de Janeiro,De transmissão feco-oral,33.8
1171,,,Tansmitidas por inseto vetor,26.5
1172,,,Transmitidas através do contato com a água,0.7
1173,,,Relacionadas com a higiene,0.1
1174,,,Geo-helmintos e teníases,0.4
1175,,São Paulo,De transmissão feco-oral,43.3
1176,,,Tansmitidas por inseto vetor,10.7
1177,,,Transmitidas através do contato com a água,1.0
1178,,,Relacionadas com a higiene,0.1
1179,,,Geo-helmintos e teníases,0.4
1180,,Paraná,De transmissão feco-oral,139.7
1181,,,Tansmitidas por inseto vetor,30.7
1182,,,Transmitidas através do contato com a água,1.2
1183,,,Relacionadas com a higiene,0.0
1184,,,Geo-helmintos e teníases,0.4
1185,,Santa Catarina,De transmissão feco-oral,87.2
1186,,,Tansmitidas por inseto vetor,1.2
1187,,,Transmitidas através do contato com a água,3.5
1188,,,Relacionadas com a higiene,0.2
1189,,,Geo-helmintos e teníases,0.3
1190,,Rio Grande do Sul,De transmissão feco-oral,90.3
1191,,,Tansmitidas por inseto vetor,0.6
1192,,,Transmitidas através do contato com a água,2.9
1193,,,Relacionadas com a higiene,0.2
1194,,,Geo-helmintos e teníases,0.5
1195,,Mato Grosso do Sul,De transmissão feco-oral,135.7
1196,,,Tansmitidas por inseto vetor,121.8
1197,,,Transmitidas através do contato com a água,0.0
1198,,,Relacionadas com a higiene,0.2
1199,,,Geo-helmintos e teníases,0.3
1200,,Mato Grosso,De transmissão feco-oral,162.9
1201,,,Tansmitidas por inseto vetor,63.8
1202,,,Transmitidas através do contato com a água,0.1
1203,,,Relacionadas com a higiene,0.1
1204,,,Geo-helmintos e teníases,0.3
1205,,Goiás,De transmissão feco-oral,177.9
1206,,,Tansmitidas por inseto vetor,106.2
1207,,,Transmitidas através do contato com a água,0.1
1208,,,Relacionadas com a higiene,0.1
1209,,,Geo-helmintos e teníases,0.3
1210,,Distrito Federal,De transmissão feco-oral,63.6
1211,,,Tansmitidas por inseto vetor,34.4
1212,,,Transmitidas através do contato com a água,0.6
1213,,,Relacionadas com a higiene,0.3
1214,,,Geo-helmintos e teníases,0.5
1215,2014.0,Rondônia,De transmissão feco-oral,271.7
1216,,,Tansmitidas por inseto vetor,106.8
1217,,,Transmitidas através do contato com a água,2.7
1218,,,Relacionadas com a higiene,0.5
1219,,,Geo-helmintos e teníases,0.7
1220,,Acre,De transmissão feco-oral,312.7
1221,,,Tansmitidas por inseto vetor,112.1
1222,,,Transmitidas através do contato com a água,9.5
1223,,,Relacionadas com a higiene,0.5
1224,,,Geo-helmintos e teníases,0.6
1225,,Amazonas,De transmissão feco-oral,131.6
1226,,,Tansmitidas por inseto vetor,14.0
1227,,,Transmitidas através do contato com a água,1.0
1228,,,Relacionadas com a higiene,0.1
1229,,,Geo-helmintos e teníases,0.5
1230,,Roraima,De transmissão feco-oral,183.1
1231,,,Tansmitidas por inseto vetor,64.8
1232,,,Transmitidas através do contato com a água,0.6
1233,,,Relacionadas com a higiene,0.4
1234,,,Geo-helmintos e teníases,4.6
1235,,Pará,De transmissão feco-oral,522.2
1236,,,Tansmitidas por inseto vetor,30.3
1237,,,Transmitidas através do contato com a água,1.3
1238,,,Relacionadas com a higiene,0.2
1239,,,Geo-helmintos e teníases,1.0
1240,,Amapá,De transmissão feco-oral,105.6
1241,,,Tansmitidas por inseto vetor,37.0
1242,,,Transmitidas através do contato com a água,3.5
1243,,,Relacionadas com a higiene,0.1
